"","x"
"RT @J_tsar: if theres one thing i love, it's a beautiful girl with beautiful curls",18
"RT @J_tsar: If you can make a girl laugh – you can make her do anything.",8
"RT @J_tsar: if you have money and you're not happy, than you must be living a pretty pathetic life",10
"RT @J_tsar: If you have the knowledge and the inspiration all that's left is to take action",550
"RT @J_tsar: if you're not relevant, keep your opinion to yourself #kindrequest",5
"RT @J_tsar: ignorance is bliss and we need that shit",6
"RT @J_tsar: Im doing laundry?! at this time? #college",11
"RT @J_tsar: im giving you a fist bump instead of a dap for a reason #nastybitch",3
"RT @J_tsar: im not a morning person because i never sleep at night but i love getting an early start, you get more done and the day seems l…",4
"RT @J_tsar: im on that late night netflix life",3
"RT @J_tsar: im thinking like 6 months, and this beard is gonna be popping",6
"RT @J_tsar: im tryina take a piss but the women in this house love to take their sweet time in the shower #goingoutside",5
"RT @J_tsar: im trying to grow a beard",9
"RT @J_tsar: Imagine how reckless their weekend is going to be in #Louisville",149
"RT @J_tsar: in a battle between real vs. fake, real takes the dub",3
"RT @J_tsar: in like 5 minutes i can make a rubiks cube my bitch",6
"RT @J_tsar: in my time, as an uncle of 4 now, I can tell you that Sesame Street teaches kids nothing useful except the alphabet and how to …",33
"RT @J_tsar: In the air",7
"RT @J_tsar: is happier than a cat in a room full of catnip.",3
"RT @J_tsar: it means no worries",4
"RT @J_tsar: It must be tough on some parents to give credit for their love and purchases to Santa",10
"RT @J_tsar: it takes a lot of faith to elude hypocrisy",21
"RT @J_tsar: It's a struggle out here http://t.co/zUY9BtYZ",49
"RT @J_tsar: It's not that I'm stubborn, it's just that if I agreed with you, we'd both be wrong.",11
"RT @J_tsar: its kind of like we're living in times where good is evil and evil is good",26
"RT @J_tsar: its like a battle, knife to a gun fight",9
"RT @J_tsar: its so loud inside my head, too many thoughts #longnight",9
"RT @J_tsar: Jeremy has 32 teeth, Johny 28 and Jamal 19, doesn't matter what toothpaste yu use what's important is not to buy Jordan's on re…",92
"RT @J_tsar: Just got put on to misfits, it's kind of the shit",13
"RT @J_tsar: just gotta get away from reality and dream a little",11
"RT @J_tsar: just looked at some baby pics, i used to be a ginger, then my mom shaved my head and out came the brunette #thanksmom",11
"RT @J_tsar: Just saved a bunch of money on my car insurance by switching my car into reverse and driving away from the accident ",70
"RT @J_tsar: just threw away 8 lighters out of my car #shitcray",3
"RT @J_tsar: karma will hit you after I do",60
"RT @J_tsar: Keep max b in jail",188
"RT @J_tsar: knowledge, strength, faith, money, love and success i'm hungry for it all",14
"RT @J_tsar: Lamb kebab #word new York got exactly what I need",4
"RT @J_tsar: life here in the U.S is ill without a doubt but life elsewhere is surreal",23
"RT @J_tsar: Life's a lot easier when you don't complain",10
"RT @J_tsar: lifeguarding is so boring but so chill, at least i have the internet",7
"RT @J_tsar: Like lee, I'm likely to make a joke out of chuck",5
"RT @J_tsar: little kids bring nothing but joy into the house and a lot of noise too",7
"RT @J_tsar: Living life too fast y'all need to slow down",197
"RT @J_tsar: Living with this cat is straight torture, I'm not a cat person anymore",8
"RT @J_tsar: lmao this is too funny http://t.co/6JhqppH0",16
"RT @J_tsar: long night",7
"RT @J_tsar: lost boys and lost girls found each other, need I say more...",12
"RT @J_tsar: love for your brother what you love for yourself",22
"RT @J_tsar: Lunch, dinner ima let you get here but that was the best breakfast of all time",41
"RT @J_tsar: mama, im a criminal",162
"RT @J_tsar: Mary, wanna?",41
"RT @J_tsar: may god bless the scientific cure for the insane",76
"RT @J_tsar: maybe im amazed at the way you love me all the time",7
"RT @J_tsar: me and my homies tryina get it, ya bish",47
"RT @J_tsar: memories that make you smile &gt;",7
"RT @J_tsar: Met this marine yesterday who said he doesn't give his name out to ""unclassified personnel"" he then proceeded to tell me his na…",43
"RT @J_tsar: Mom, did you adopt me?            
Son, do you really think we would of picked you if we had?",36
"RT @J_tsar: Money is overrated, it's not the only thing that brings happiness, hmm what else can I say to soothe my soul before I get paid …",31
"RT @J_tsar: Most of you are conditioned by the media",2292
"RT @J_tsar: MTV is garbage",90
"RT @J_tsar: my beard is so clutch letting it grow",4
"RT @J_tsar: my bro left these christian missionaries second guessing their own religion",34
"RT @J_tsar: my cat's attack technique is killer",10
"RT @J_tsar: my dad's reaction to rap music on the radio always made me laugh #imissthatman",30
"RT @J_tsar: My English teacher is an angel, I'm in love",9
"RT @J_tsar: My goal for the 2013 year is to get a girl pregnant and become a daddy #saidnooneever",38
"RT @J_tsar: my hair cant be tamed, it will remain a mess #fuxwithittho",5
"RT @J_tsar: my hair is soo wavy",6
"RT @J_tsar: My last tweets felt too wrong, I don't like to objectify women or judge anyone  for their actions",63
"RT @J_tsar: my left eye has been twitching for like a minute straight wtf",3
"RT @J_tsar: my moms tryina arrange a marriage for me aha she needs to #chillout i'll find my own honey",30
"RT @J_tsar: my net worth right now #itsupthere",4
"RT @J_tsar: my niece is the cutest in the world",3
"RT @J_tsar: my perspective on life is completely different then yours and you can say the same",22
"RT @J_tsar: My roommate talks in his sleep, when he does I respond, that must alter his dreams a lil bit",37
"RT @J_tsar: Naaah I'm just kiddin freeee the waaave",188
"RT @J_tsar: Never try to fork a mini tomato while wearing a white shirt, it will explode",128
"RT @J_tsar: Never underestimate the rebel with a cause",599
"RT @J_tsar: new wisdom teeth coming in #thatsthatshitidontlike",12
"RT @J_tsar: New York is so ratchet on black Friday it's ridiculous, I'm to bed son",9
"RT @J_tsar: new york looks ill from afar but zoom in and it gets real dirty",3
"RT @J_tsar: No class for two hours? Is that a nap I feel coming on #hellyeaa",16
"RT @J_tsar: No matter where life takes me you'll still find me with a smile",200
"RT @J_tsar: No one is really violent until they're with the homies",601
"RT @J_tsar: no parade in east cambridge after that",3
"RT @J_tsar: Not being able to find the remote to the tv is probably one of the most reoccurring struggles of life",83
"RT @J_tsar: not being able to tell a joke because you keep laughing while trying to tell it",12
"RT @J_tsar: Not too early for breakfast, is it?",9
"RT @J_tsar: Now I'm wondering who instead of letting the egg hatch and grow into a chicken, decided to crack it and put it on a hot surface…",31
"RT @J_tsar: Now we aint come here to start no drama, we just looking for our future baby mamas",312
"RT @J_tsar: Nowadays everybody wanna talk like they got somethin to say but nothin comes out when they move their lips; just a bunch of gib…",1671
"RT @J_tsar: Off with a warning jakes got nothing on me #speedingticketappealed #recordstillclean #ridingdirty #theyllnevercatchme ahaha fee…",42
"RT @J_tsar: oh man, my window is far too close to my neighbors, i can hear this bitch moaning lmao #whatdoidotomakeitstop?",6
"RT @J_tsar: On some Harry potter shit http://t.co/4ASDCY9l",72
"RT @J_tsar: on the train to washington with a 5 year old who wont go to sleep #thisistorture",3
"RT @J_tsar: Once my teacher said she accepts all late work without penalties, 1. I fell in love with her and 2. It was my cue not to do shi…",11
"RT @J_tsar: Once you feel you are avoided by someone, never disturb them again",217
"RT @J_tsar: one day you will close your eyes, forever.",27
"RT @J_tsar: ooh baby i love your way, everyday.",10
"RT @J_tsar: Optimism is favorable but the pessimistic point of view is important to   have because #shithappens",29
"RT @J_tsar: pack so loud i can't hear it",6
"RT @J_tsar: peanut butter jelly time #wheayeat",4
"RT @J_tsar: Peanut butter, fluff and nutella #iwentthere",36
"RT @J_tsar: Peep the fur ball she's part of the fam http://t.co/HLzpzYP0",130
"RT @J_tsar: People come into your life to help you, hurt you, love you and leave you and that shapes your character and the person you were…",365
"RT @J_tsar: People that don't know how to apologize will be sorry one day",162
"RT @J_tsar: people that say ""I hate posts about religion like stop trying to convert me"" and then go on to post some shit about jersey shor…",66
"RT @J_tsar: people who say guess what and then actually expect you to guess, i hate those people",9
"RT @J_tsar: pizzzzzzzzaaaaaa baaaabbyyy",8
"RT @J_tsar: Place your bets http://t.co/L1lHCUzwBR",41
"RT @J_tsar: poker face",78
"RT @J_tsar: Prime parking job http://t.co/wmekyNpk",12
"RT @J_tsar: proud to be from #chechnya",22
"RT @J_tsar: Pulled one of those all nighters #countingsheepwithmyeyesopen",6
"RT @J_tsar: rather have a hot head then some cold feet",3
"RT @J_tsar: Roam in your own zone or get kidnapped and clapped in your dome. We got it sewn, The Firm art of war is unknown",9
"RT @J_tsar: rollin rollin rollin we aint slept in weeks",6
"RT @J_tsar: S&amp;s wings are not that popping #saidthemanwithfunctioningtastebuds",3
"RT @J_tsar: salat makes one strong #islam",17
"RT @J_tsar: see no evil, hear no evil, speak no evil until the morning alarm goes off and all hell unleashes",211
"RT @J_tsar: Seeing as how my doodles are more artsy than most of the tats kids are gettin, I think I can make bank as a tat artist #timetog…",5
"RT @J_tsar: Sergeant Ray must have been scared of something",12
"RT @J_tsar: Share the love, the knowledge and the wealth",62
"RT @J_tsar: she's hot she's banging every body wants her name and i gota get that girl in my liiiiifee",6
"RT @J_tsar: she's not heartless, shes just tryina use her heart less",25
"RT @J_tsar: shes not pregnant #liesivetoldmyparents",8
"RT @J_tsar: Shocking shit, more so than that time I found out a tomato is a fruit",54
"RT @J_tsar: Skyyy rockets in flight, night time delight",4
"RT @J_tsar: small world",3
"RT @J_tsar: smile, it's supposed to be good for you",11
"RT @J_tsar: So many Latino kids took up boxing since my retirement it's crazy and most of them are below 5'5",7
"RT @J_tsar: so much hate i need a ak",38
"RT @J_tsar: So then I says to him, I says, relax bro my beard is not loaded",722
"RT @J_tsar: so you lost your girlfriend, don't lose your dignity #keepitpushing",3
"RT @J_tsar: some people are just misunderstood by the world thus the increase of suicide rates",15
"RT @J_tsar: something light for lunch http://t.co/CvAiNXi",54
"RT @J_tsar: sometimes i don't look it but im always in a great mood",8
"RT @J_tsar: sometimes you gotta fight for the things you love most http://t.co/Ka4X1ppn",170
"RT @J_tsar: sometimes you gotta follow in order to lead",13
"RT @J_tsar: sons of anarchy that's that good good",3
"RT @J_tsar: Speed limited to 118 http://t.co/66qMaDAv",13
"RT @J_tsar: spray bottle full of rubbing alcohol #waronterror mosquitoes won't know what hit em #suckers",10
"RT @J_tsar: stop worrying about the spec in my eye while you got a log in yours, my perspective on things, my view, my decisions shouldn't …",15
"RT @J_tsar: straight killen em",25
"RT @J_tsar: take me down to paradise city, where the piff is loud and the girls are pretty",3
"RT @J_tsar: taking a 30 minute power nap was a terrible idea",3
"RT @J_tsar: Taking a shower after watching a scary movie is always exciting",47
"RT @J_tsar: tat my name on you girl so i know it's real oh and make sure to spell it right, its spelled Dzhokhar",62
"RT @J_tsar: teacher kicked me out of class for coming in with a rough draft that was 4.5 pages instead of 5, i guess its that time of the m…",11
"RT @J_tsar: teachings of equality started in the 7th century, it took up until the 19th century for slavery to be abolished #humanraceprobl…",38
"RT @J_tsar: temper has risen from all this fuckery",4
"RT @J_tsar: text back with your titties on it",36
"RT @J_tsar: thank god for women and sandwiches",18
"RT @J_tsar: that awkward moment when yoloers end up living twice",7
"RT @J_tsar: That homework that I was supposed to do, yeaa I'm still doing it",47
"RT @J_tsar: The big difference between sex for money and sex for free is that sex for money usually costs a lot less.",5
"RT @J_tsar: the block is hot",109
"RT @J_tsar: the country's changed except the south",3
"RT @J_tsar: The day I actually decide to devote 10 minutes to fixing my hair the wind blows it all to hell #timeiwillnevergetback",7
"RT @J_tsar: The efficient man is the man who thinks for himself",73
"RT @J_tsar: The egg doesn't teach the chicken? The hell it doesn't I'm throwing knowledge at these old fools #andyou'reabird",3
"RT @J_tsar: The fight we had last night was my fault,
my wife asked me what was on the TV and i said dust.",8
"RT @J_tsar: The first one I give head to, the second one I cuddle with, the third one I give the dick to #imtalkingaboutmypillows ahaha",33
"RT @J_tsar: the ny dooouur is powerful",3
"RT @J_tsar: the only reason i'm not sleeping right now is because i drank like half a gallon of water, it's not safe to fall asleep",15
"RT @J_tsar: the opportunity was there, in my experience it's best to take that opportunity if it's there",20
"RT @J_tsar: The product never matches the advertisement bitch gave me milk http://t.co/v9h3rb9Q",145
"RT @J_tsar: The value of human life ain't shit nowadays that's #tragic",169
"RT @J_tsar: There are enough worms for all the birds stop killing each other for 'em",38
"RT @J_tsar: There are people that know the truth but stay silent &amp; there are people that speak the truth but we don't hear them cuz  ...",8
"RT @J_tsar: There are people that know the truth but stay silent &amp; there are people that speak the truth but we don't hear them cuz the…",3111
"RT @J_tsar: There are three sides of an argument -- your side, my side and the right side.",21
"RT @J_tsar: they want one thing after another, never satisfied",3
"RT @J_tsar: This cafeteria got too many UFOs, unidentified fried objects",31
"RT @J_tsar: this fella just asked me where i get my eyebrows done #imflattered but i uuh don't do that...",22
"RT @J_tsar: This fire alarm is so fun #saidthecolddrunkcollegekids",6
"RT @J_tsar: this internet connection is stressing me the fuck out",4
"RT @J_tsar: this lady on the train is creeping hard right into my computer screen, just made eye contact #awkward",8
"RT @J_tsar: this man steven changed his name to Muhammad doing big things this #ramadan",4
"RT @J_tsar: This night deserves Hennessy a bad bitch and an o of weed the holy trinity",37
"RT @J_tsar: those ""I can't live without him/her"" relationships are ",32
"RT @J_tsar: through tranquil speech, we give 'em something to remember",4
"RT @J_tsar: time travel",5
"RT @J_tsar: tired from a day of chilling, life needs to always be this easy",5
"RT @J_tsar: To be honest, I don't care for those people that wanna commit suicide, your life b, do what you think will make you happy #self…",281
"RT @J_tsar: to some a hero and to others a villain, i say fuck the others",21
"RT @J_tsar: toast waffles. no syrup #traplife",3
"RT @J_tsar: Too many surprises today",30
"RT @J_tsar: Tough loss before the finals #imhurtinginside http://t.co/GZ4H8zfr",15
"RT @J_tsar: typical cambridge convo
guy1:yo wats good
guy2:roll up cudi 
guy2:you already
guy1:i'll scoop yu 
guy2:hit me on twitter, phone…",5
"RT @J_tsar: Up close and personal with deebo that shit was supersized http://t.co/RDrwRLhz",6
"RT @J_tsar: using my high-school essays for my english class #itsthateasy",4
"RT @J_tsar: v neck swag",5
"RT @J_tsar: volunteers at orphanage. accidentally makes a yo mama joke",11
"RT @J_tsar: Waking up at 5am every day",16
"RT @J_tsar: waking up before my alarm is my greatest accomplishment of the day",5
"RT @J_tsar: Walking dead then Vikings and maybe some homework",46
"RT @J_tsar: Was learning cursive really necessary?",4
"RT @J_tsar: Wasup wasup wasup mofucka where my money at",21
"RT @J_tsar: watching two dum people argue about when the world is going to end is fucking hilarious",8
"RT @J_tsar: We are able to speak street vernacular and job interview"" Dave Chappelle",3
"RT @J_tsar: we no speak americano",16
"RT @J_tsar: We postin' http://t.co/RjUJddJNJt",46
"RT @J_tsar: we should go nowhere you and i and make it our place",8
"RT @J_tsar: We try to find ways to kill time but time kills us http://t.co/WiK8XMMZTT",416
"RT @J_tsar: we want what we can't have and the things that we can have just don't satisfy",7
"RT @J_tsar: we're all birds on twitter #thatsironic #cambridgeinsider",3
"RT @J_tsar: We're best friends already, fuck my allergies tho http://t.co/iEtrTLrB",252
"RT @J_tsar: we're not low",3
"RT @J_tsar: Welcome to the jungle, careful of the fever",7
"RT @J_tsar: What a clown. http://t.co/rQWVwAEx",42
"RT @J_tsar: what constitutes the trap life is the pursuit of profit",24
"RT @J_tsar: What you got to drink bro?
-I got some water
-you got something stronger than that?
-yea, I got some ice",85
"RT @J_tsar: What's with dudes telling other dudes to shave, c'mon son no one wants to hear that",13
"RT @J_tsar: When I die, I want to go peacefully like my Grandfather did, in his sleep -- not screaming, like the passengers in his car.",56
"RT @J_tsar: When I read it's not for fun, no fun in it all #itsfortheknowledge",8
"RT @J_tsar: when money speaks, truth doesn't",21
"RT @J_tsar: While watching the titanic, only the guys in the room pulled out their phones or stopped paying attention right before jacks de…",15
"RT @J_tsar: why am i still on this fucking campus",3
"RT @J_tsar: Why is it that people need to be convinced to part take in activities that they already wanna do #getittogetheryoufuckers",5
"RT @J_tsar: Why text first when you can just wait, wait, wait, wait, wait, complain about texting first on twitter, wait, wait, wait.",64
"RT @J_tsar: wish for your brother what you wish for yourself",50
"RT @J_tsar: with the right people anything you do can be fun",8
"RT @J_tsar: woah too many unanswered questions  tonight",13
"RT @J_tsar: Woke up at 8:50, made to class by 9:03  #sleepovereverything",8
"RT @J_tsar: Working hard #cleaallyy http://t.co/4cF8EnjO",26
"RT @J_tsar: Wouldn't it be pretty cool if someone that you weren't too fond of was just like, ""yu know I must be a bother, let me just fuck…",53
"RT @J_tsar: yea im procrastinating http://t.co/UmBu3lEy",4
"RT @J_tsar: yea sure some girls look better in pictures, but sometimes a camera can't capture someones true beauty",15
"RT @J_tsar: yeaa i'll never shave again",3
"RT @J_tsar: you are a fucking idiot, I say that with love",5
"RT @J_tsar: You can hit the gym all you want but if you're a coward at heart dudes will still step all over you",34
"RT @J_tsar: you guys dont know how smoooooooooooth i am ahaha",10
"RT @J_tsar: you guys know that the suicide rate for active duty american soldiers is at an all time high for 2012, a suicide a day, whats t…",64
"RT @J_tsar: You know what i like to do? answer my own questions cuz no one else can",5
"RT @J_tsar: you know what our problem is, we think there isn't enough resources to last #wehaveplenty",10
"RT @J_tsar: You must have a very beautiful wife..
-yea, how do you know that?
You're ugly but your kids are good looking",10
"RT @J_tsar: You see, there are rap artists and there are noise makers #itsnotallmusic #someofitisbullshit",21
"RT @J_tsar: you used ""lol"" twice in one sentence you must really be dying of laughter",4
"RT @J_tsar: you will have to make tough decisions today and those decisions will influence your future, hardships will arouse and yu will r…",262
"RT @J_tsar: you've been hit by a smooth criminal",55
"RT @J_tsar: Young Robel is out here tonight",15
"RT @J_tsar: your swag is stupid just like your IQ",15
"RT @J_tsar: Буду погибать мaлодым",18
"RT @J_tsar: Если б знала ты сердцем упорным, Как умеет любить хулиган",7
"RT @J_tsar: Жорик Вартанов eto pizdec tema",5
"RT @J_tsar: сука нахуй хочу бэху мне похуй опять проехала мимо мне стало плохо #bmw",11
"RT @J_tsar:  the furious 5",111
"RT @J_tsar:  Bang! Bang!",302
"RT @J_tsar:  she's up to no good",7
"RT @Jack3dson: .@J_tsar hahaha you're gunna get pounded out profusely. ",4
"RT @JaclynDouglas94: @Free_Jahar @J_tsar I'm not gunna let my baby go to jail for something he didn't do...",3
"RT @JacobRusnock: @J_tsar guessing today wasn't such a stress free day? #rotinhell",3
"RT @JaeRoar: I dont believe @j_tsar did the bombing in Boston. Unfollow me if it makes you feel better. My view, you cant change it #FreeJa…",6
"RT @JaharIsInocent: Hope you're happy.. Jahar's life is RUINED &amp; he's INNOCENT. Too much to handle right now. #crying #freejahar @j_tsar",4
"RT @Jaharnators: Jahar's trial is May 30 at 10:00 AM! Free @J_tsar #freejahar #FreeDzhokhar #Jaharnator",6
"RT @JakePentland: “@J_tsar: Dreams dreams come true. last night I dreamt I was eating a cheeseburger and today, guess what I was eating?” H…",18
"RT @JakePentland: Yeah! He's a great kid! 'Cept for murdering people and stuff. “@DidDRoseReturn: @JakePentland @J_tsar  fuck up.he's agood…",3
"RT @JakMak88: “@TroyCrossley: Spread my message Everyone knows @J_tsar is innocent 

#TroyCrossleyTruth #RapReligion”

@th3j35t3r",3
"RT @JamesBrownYoga: The hate aimed at @muftimenk, who teaches peace &amp; love, because of a RT from @J_tsar, who kills people, reveals the…",3
"RT @jasonbroccoli: A lot of people just asked me the Boston Marathon bombing suspect's twitter - it's @j_tsar",12
"RT @JasonOGrady: @J_tsar Can you please tweet with location next time? We've got a pizza delivery for you.",13
"RT @jasonwhat: What was suspect @J_tsar doing day before bombing marathon? Watching @gameofthrones and debating it's merits vs Breaking Bad.",68
"RT @jayknowstar: You dead bro? @j_tsar",5
"RT @jbcadier: Selon ABC News le compte twitter du suspect en fuite à Boston est @J_tsar",14
"RT @JBuerk716: I find it funny @j_tsar (#bostonbomber) followed @BarackObama  this morning but no longer does #blocked",3
"RT @JBush96: @J_tsar not if you're just chillin in a boat #nevertooearly",3
"RT @JebBoone: #Boston bomber Dzhokhar Tsarnaev @J_tsar tweeted about smoking weed, rap lyrics, cars, cute girls, Games of Thrones and Black…",5
"RT @jeeveswilliams: The Boston bomber’s Twitter account is: @J_tsar",3
"RT @jeffsonderman: .@acarvin describing how he verified @j_tsar's account as the bomber's: http://t.co/uvUSHjDuze #isoj",4
"RT @jenanmoussa: After #BostonBombings, @J_tsar tweets: 'Lol those people are cooked' #creepy",19
"RT @jenanmoussa: Dzhokhar Tsarnaev tweeted this after the bombing RT @J_tsar: Ain't no love in the heart of the city, stay safe people. #ch…",12
"RT @jenanmoussa: Suspect nb 2 speaks about Boston Marathon on August 11, 2012 RT @J_tsar: @therealAbdul_ boston marathon isn't a good place…",3
"RT @JenniferPreston: Been so busy w/breaking news for @thelede, just getting up analysis w/@michaelroston of @j_tsar on Twitter - http://t.…",7
"RT @JennilynnHawn: ""Not sure why 70k people have followed @J_tsar (Boston #manhunt guy). He ain't gonna be tweeting anytime soon. http://t.…",4
"RT @Jenny_IDLYITW: Even more graphic photo dead bomber. MT @Pat_Sofia: ...@J_tsar you coulda ended up lookin like your coward brother http:…",4
"RT @jennyallenxo: @TroyCrossley The truth will come out sooner or later and prove that @J_tsar is innocent. Free Jahar !! #TroyCrossleyTruth",9
"RT @jeremyjdaguilar: “@J_tsar: Being bilingual is da bomb” pun intended.",3
"RT @jeriwitha_n: this kid they blamed the bombings on is so innocent, bro. ",11
"RT @jerrylore: Transcript of hearing of @j_tsar Dzhokhar Tsarnaev's bedside, where  he is found alert, mentally competent and lucid http://…",3
"RT @Jerseygurl401: You may just be the nicest person ever for standing by a friend and making sure @J_tsar has full support @TroyCrossley I…",3
"RT @Jessdaniellaaa: Not yet convinced that @J_tsar actually did the bombing.. And idk why..",5
"RT @jessicashaw32: I really think that Jahar @J_tsar is innocent if u watch all the stuff over and over again it doesn't make any sense hat…",7
"RT @Jessweetly: i don’t know @J_tsar is innocent or guilty when i look this pic http://t.co/4F6eLjrXjp",203
"RT @jeweettog: @TroyCrossley @J_tsar Pic of Johar stil having his backpack AFTER the explosion. The guy is INNOCENT! http://t.co/t6nBZ0UDJ9",3
"RT @JHolder_: .@J_tsar We got you ",3
"RT @JIGFOB: @FreeJahar_ @J_tsar its so sad that everyone has just jumped to the conclusion he's guilty without really giving it a second th…",4
"RT @JimMarous: @J_tsar According to @CNN this is the Twitter account of #suspect2. Been sending tweets since Monday. Amazing!",14
"RT @jimmcdoo: @FreeJahar_ @J_tsar Anybody identified the naked #Boston-ian arrested by cops? Aunt is 100% sure it is Tamerlan?
http://t.co/…",10
"RT @jimmydelane: @J_tsar Your next http://t.co/iTEPKEmo1n",3
"RT @jmichelle_xo: @J_tsar WOW, coward! You bomb the Boston Marathon &amp; then tweet this?! What the actual fuck..",3
"RT @joaooalberto: people should just stop accusing @j_tsar and check out #troycrossleytruth on @TroyCrossley twitter page. justice for him.…",6
"RT @Joe: So wait @J_tsar &amp; @xxjungaxx are the accounts of the suspects?",19
"RT @JoeGutierrez80: @TroyCrossley @J_tsar you a real ass dude to be holding it down for your boy..  he gonna need you now more then ever.",3
"RT @joelcottreau: but you'll bomb a marathon, and kill 4 people, including a 8 year old kid, makes sence @j_tsar #pathetic http://t.co/gpNF…",3
"RT @JoelLesher: Picture of the #BostonBombing suspect, @J_Tsar, minutes after being apprehended by #Boston authorities. http://t.co/GvRtDeb…",118
"RT @JoeNellolfc: Anzhi are shite you bombing twat @J_tsar",6
"RT @JoeProvost3: @TroyCrossley @j_tsar So why were they firing back at police and throwing pipe bombs? That's the act of innocence for sure…",3
"RT @Joey_Ruins: Ever since the news released @J_tsar (SuspectBomber#2) twitter handle, his follower count skyrocketed to 43k+

Really peopl…",4
"RT @JoeyBoots: “@J_tsar: @ImRealTed fake story” &lt;&lt;-- the real act for #Boston Bomb suspect tweeting about validity of Bombing story.",4
"RT @JoeyBoots: “@J_tsar: I'm a stress free kind of guy” Can you say the same this morning?Welcome to the first full day of the rest  of you…",3
"RT @JoeyBoots: Very interesting to read the tweets of all those whom @J_tsar was following - Reports now state Feds are going to interview …",4
"RT @John_Da_Kid: Not anymore huh? RT @J_tsar: I'm a stress free kind of guy",7
"RT @John_Doyle10: Listen up @J_tsar. I hope you know that this is America; and here in America we kill mother fuckers like you. #JusticeWil…",3
"RT @JohnboyEnnis: Can't believe they haven't taken down his Twitter account yet @j_tsar",3
"RT @johnnysmooth: @J_tsar How's your brother doing? Oh right...",9
"RT @Jonathan360: Random Tweets of @J_tsar. Possible Twitter Account of #Boston Bombing Suspect Dzhokhar ""Jahar"" Tsarnaev http://t.co/8QUCJu…",41
"RT @JonHenke: Alleged bomber --&gt; RT @J_tsar I don't argue with fools who say islam is terrorism it's not worth a thing, let an idiot rem…",8
"RT @JonPaula: Hey, @J_tsar - that overwhelming sense of panic and fear coursing through your body right now? That's what you did to Boston …",65
"RT @JonPaula: Since the news is only showing one picture, here's another angle of the boat @J_tsar is hiding in right now: http://t.co/oqZ5…",11
"RT @jord1995_: “@J_tsar: I'm hot, about 103.4 degrees to be exact” 

It's going to be much hotter than 103.4 in Hell pal.",4
"RT @jordansone: What! The terrorist that did the #boston bombing ( @J_tsar ) has followed someone yet he's ment to be in custody??? http://…",5
"RT @Jorddizle: @JvyDiamond @J_tsar how can you call somebody a fag? you are male and you like nicki minaj fall back fam",3
"RT @Jordin1DJBPB96: Starting to believe @J_tsar isn't guilty... Just look at the evidence so far... And physical features he doesn't look l…",3
"RT @jordipc: Este sí que es el twitter del sospechoso Dzhokhar Tsarnaev: @J_Tsar. Aquí unos cuantos tuits: http://t.co/GAQxFbb9ni via @mati…",4
"RT @JorgeBernal: La cuenta de Twitter del sospechoso @J_tsar tenia 120 seguidores antes del atentado..ahora tiene 40,007 y sigue aumentando.",11
"RT @joshtpm: Okay twitter keeps recommending I follow @J_tsar, Dzhokhar's twitter acct.  Great moments in algorithms",124
"RT @JoshuaGreen_81: If @J_tsar dies, this whole thing is a conspiracy. I'm dying to know what this man has to say.",3
"RT @JoshValentine3: Hopefully @J_tsar screws up and puts his location on his next tweet.",3
"RT @jovradmanovic: We're all with you @TroyCrossley 

@J_tsar is innocent!",6
"RT @Juan_Pelador: @j_tsar #gotchass",4
"RT @judgeace: I'm not one to believe in conspiracy theory but I can't help but feel like it's possible @J_tsar wasn't the bomber.",16
"RT @julia_alva: @marisaa_latz @J_tsar ugh he's the funniest cutest hottest terrorist ive ever heard of",4
"RT @JustAMasshole: “@J_tsar: I'm a stress free kind of guy” I wondah if he's still stress free?",55
"RT @JustAmateurAss: “@ROzbolt662: @J_tsar here's your brother you piece of shit http://t.co/94QT5vVG1i”",3
"RT @JustenCharters: Wow a terrorist quoting Edmund Burke RT:“@J_tsar: Evil triumphs when good men do nothing”",4
"RT @justhefax_mam: @entracinglilmis @j_tsar 

Well, he didn't actually see it happen...his brother was under his tire. 
#AddManslaughter? 
…",3
"RT @justin_C4se: Dzhokhar Tsarnaev @J_tsar suspect 2 after captured from the boat #Boston #watertown #bostonmanhunt #bostonterror http://t.…",3
"RT @justinbabygirl2: @TroyCrossley Is the only one who would stand by @J_tsar his friend, even if he may be guilty.",3
"RT @JvyDiamond: “OMFG GUYS THIS IS THE BOMBERS ACCOUNT RT @J_tsar: I'm a stress free kind of guy”",3
"RT @JvyDiamond: @J_tsar @imrealted Smh, Burn in hell!!!!",13
"RT @JvyDiamond: @J_tsar fag.",8
"RT @K00L_a_I_d: @j_tsar dude your bro looks tired !

#finishingmovefriday http://t.co/vzw7WQ72IH",8
"RT @K00L_a_I_d: You look like your dead brother @j_tsar!!! So cute !!! Hope ur dad gets shot next time he goes out! 

LOVE YA http://t.co/f…",5
"RT @K9Koda: @Seeking4Allah @j_tsar Would be a fun courtroom to be in watching u presenting THAT crap as 'proof'. Laughable nonsense.",4
"RT @KailLowry: Says the guy who bombed the city... ",92
"RT @KailLowry: So scary. @j_tsar I don't understand. You're upset about your brother but what about the families of your victims? http://t.…",11
"RT @Kaite_Sasa: RT @NARRYMeKames: Don't hate me but I believe that @J_tsar is innocent, http://t.co/Iw9yzx3p9o/ Innocent until proven guilt…",9
